Date,Date,Open,High,Low,Close,Volume,K,D,Signal
1999-11-01,1999-11-01,24.86,29.32,23.4,25.19,1386222416.0,83.74681103609771,83.33219526134707,
1999-12-01,1999-12-01,25.08,26.64,22.3,26.08,1061062582.0,78.46105768635748,84.3236978003887,
2000-01-01,2000-01-01,26.08,26.08,13.15,13.88,1302935023.0,46.63256871501136,69.61347914582217,
2000-02-01,2000-02-01,13.99,16.05,13.65,15.94,2955564920.0,30.806960465345522,51.96686228890477,
2000-03-01,2000-03-01,16.05,20.9,14.77,19.67,3537050704.0,20.696763553906383,32.71209757808774,
2000-04-01,2000-04-01,19.67,19.9,15.16,16.44,1997132248.0,27.321397818061985,26.275040612437948,
2000-05-01,2000-05-01,16.44,16.44,13.49,15.71,1524356290.0,28.1696454346225,25.39593560219694,
2000-06-01,2000-06-01,15.66,17.83,15.05,15.49,1753266651.0,23.72596881049475,26.405670687726396,
2000-07-01,2000-07-01,15.77,22.98,14.99,22.7,1264604038.0,47.94633212323495,33.280648789450716,
2000-08-01,2000-08-01,22.9,23.37,19.68,22.42,909235789.0,71.47489816920239,47.71573303431069,
2000-09-01,2000-09-01,23.75,24.79,19.49,19.49,2032175676.0,80.17716211133592,66.53279746792441,
2000-10-01,2000-10-01,16.93,18.26,13.86,15.99,2061327328.0,54.323203063578234,68.6584211147055,
2000-11-01,2000-11-01,15.71,20.44,15.32,17.79,2500799425.0,36.18035932604099,56.893574833651705,
2000-12-01,2000-12-01,18.17,18.17,15.51,15.9,1517644064.0,24.702653247941427,38.40207187918687,
2001-01-01,2001-01-01,15.9,20.06,15.42,20.06,1415658487.0,37.11497407746262,32.66599555048167,
2001-02-01,2001-02-01,19.68,19.96,18.64,19.02,1261212257.0,51.269430315974056,37.69568588045936,
2001-03-01,2001-03-01,18.73,20.25,18.17,19.02,1042977024.0,69.13656301649249,52.50698913664305,
2001-04-01,2001-04-01,18.92,19.49,17.98,18.26,593937788.0,69.828083243396,63.41135885862084,
2001-05-01,2001-05-01,18.26,18.92,17.79,17.98,479135438.0,61.355622412008266,66.77342289063223,
2001-06-01,2001-06-01,17.98,18.07,15.71,17.12,552577791.0,47.619503652830595,59.6010697694116,
2001-07-01,2001-07-01,17.14,18.62,16.29,18.4,521763275.0,47.77014681247584,52.24842429243822,
2001-08-01,2001-08-01,18.75,19.55,15.26,15.26,506297180.0,30.10279001468426,41.83081349333022,
2001-09-01,2001-09-01,14.23,14.52,10.63,12.46,1322437975.0,26.588932129616794,34.82062298559229,
2001-10-01,2001-10-01,12.46,15.09,11.66,14.63,971040175.0,21.786248131539594,26.159323425280203,
2001-11-01,2001-11-01,15.09,18.29,15.04,16.58,698959663.0,44.020926756352736,30.798702339169694,
2001-12-01,2001-12-01,17.09,20.24,16.81,18.29,1275153870.0,63.75190734614072,43.18636074467767,
2002-01-01,2002-01-01,18.29,21.95,17.84,20.24,1542845983.0,77.10222188131003,61.62501866126782,
2002-02-01,2002-02-01,20.8,21.61,17.72,18.29,538548207.0,76.3447055499857,72.39961159247882,
2002-03-01,2002-03-01,18.18,19.78,17.61,18.41,928160859.0,66.03179283695614,73.15957342275063,
2002-04-01,2002-04-01,18.29,18.86,16.46,17.38,542962671.0,43.31970897530383,61.898735787415234,
2002-05-01,2002-05-01,17.38,19.66,16.69,17.72,743054836.0,29.49281990585872,46.28144057270624,
2002-06-01,2002-06-01,17.72,18.18,15.32,15.6,581021918.0,14.720023784633204,29.177517555265258,1.0
2002-07-01,2002-07-01,15.43,18.41,14.52,18.14,837416800.0,32.07454092721992,25.429128205903954,
2002-08-01,2002-08-01,18.17,18.44,15.32,17.24,650219549.0,42.06369701575726,29.619420575870134,
2002-09-01,2002-09-01,17.51,17.84,14.92,15.45,576656886.0,46.6109886424721,40.249742195149764,
2002-10-01,2002-10-01,15.25,18.04,13.33,16.65,943409524.0,45.327439648104814,44.6673751021114,
2002-11-01,2002-11-01,16.71,17.91,16.18,17.31,480643098.0,53.650176023716824,48.52953477143125,
2002-12-01,2002-12-01,17.31,18.17,15.85,15.91,498650262.0,64.44879321591644,54.47546962924603,
2003-01-01,2003-01-01,15.91,17.71,14.92,15.79,899873059.0,59.73406004539249,59.27767642834192,
2003-02-01,2003-02-01,15.79,15.79,13.73,14.85,830574071.0,44.24021391642807,56.141022392579,
2003-03-01,2003-03-01,14.92,16.05,14.46,14.66,728817512.0,34.39245030154117,46.12224142112058,
2003-04-01,2003-04-01,14.59,15.85,12.93,14.46,1148934269.0,27.183125968691517,35.27193006222026,
2003-05-01,2003-05-01,14.46,15.79,14.19,15.39,791102072.0,33.86961812494405,31.815064798392246,
2003-06-01,2003-06-01,15.65,17.51,14.99,16.65,1892534848.0,53.961871950822314,38.33820534815263,
2003-07-01,2003-07-01,16.71,22.28,16.51,20.82,3156740898.0,72.3573897693307,53.39629328169902,
2003-08-01,2003-08-01,20.82,22.44,19.26,22.44,1889709551.0,88.53591138718286,71.61839103577863,-1.0
2003-09-01,2003-09-01,23.27,25.36,22.79,23.43,1530423929.0,89.03553412900926,83.30961176184094,-1.0
2003-10-01,2003-10-01,23.43,26.0,23.43,24.39,1259068443.0,89.3661685708795,88.97920469569056,-1.0
2003-11-01,2003-11-01,24.39,25.67,21.18,21.18,1218116197.0,72.43606670927078,83.6125898030532,
2003-12-01,2003-12-01,21.18,22.23,21.02,21.42,927842414.0,55.544700741186496,72.44897867377894,
2004-01-01,2004-01-01,21.42,25.19,21.42,24.88,754906433.0,52.92240410687449,60.301057185777275,
2004-02-01,2004-02-01,24.72,24.72,23.43,23.75,933205267.0,54.79226500462778,54.41978995089628,
2004-03-01,2004-03-01,23.91,24.24,21.02,22.87,1751912253.0,57.37142116854511,55.028696760015826,
2004-04-01,2004-04-01,22.95,23.99,20.94,21.02,868171707.0,32.16219209538974,48.108626089520904,
2004-05-01,2004-05-01,21.1,22.06,19.66,21.42,939110364.0,24.497900208130044,38.01050449068833,
2004-06-01,2004-06-01,21.51,22.87,18.45,20.06,1169028321.0,19.795528442939936,25.485206915486604,
2004-07-01,2004-07-01,20.06,20.06,17.65,19.66,818685244.0,29.33499703766161,24.54280856291056,
2004-08-01,2004-08-01,19.58,20.95,18.45,20.58,1152281524.0,34.131033569113214,27.753853016571615,
2004-09-01,2004-09-01,21.15,22.74,20.59,21.9,833737839.0,52.710964762474525,38.72566512308314,
2004-10-01,2004-10-01,22.0,23.4,21.71,23.02,741001985.0,73.6744799699694,53.505492767185736,
2004-11-01,2004-11-01,23.02,25.27,22.84,24.33,1177572420.0,87.49099028788312,71.2921450067757,
2004-12-01,2004-12-01,24.05,27.51,23.77,27.51,1205458035.0,93.68511544752555,84.95019523512605,-1.0
2005-01-01,2005-01-01,27.51,27.61,25.08,26.2,691222647.0,89.19285730309348,90.12298767950074,-1.0
2005-02-01,2005-02-01,26.3,27.42,26.02,27.05,649411996.0,90.14100149693365,91.00632474918426,-1.0
2005-03-01,2005-03-01,27.05,28.26,25.18,26.2,1003503965.0,77.47187480566673,85.60191120189798,
2005-04-01,2005-04-01,26.2,28.08,25.74,27.8,1058304598.0,80.75203521277591,82.78830383845879,
2005-05-01,2005-05-01,27.8,30.89,26.2,30.79,1281881993.0,83.34215355539578,80.5220211912795,
