Date,Date,Open,High,Low,Close,Volume,K_BUY,D_BUY,K_SELL,D_SELL,Signal_Buy,Signal_Sell,Signal
2003-04-01,2003-04-01,14.59,15.85,12.93,14.46,1148934269.0,32.008368200836834,26.059846457335965,31.709425133681872,33.61641488024448,,,0
2003-05-01,2003-05-01,14.46,15.79,14.19,15.39,791102072.0,78.84615384615385,43.93348933097885,30.188718665965933,31.801820642968988,,,0
2003-06-01,2003-06-01,15.65,17.51,14.99,16.65,1892534848.0,81.22270742358073,64.02574315685712,30.086999017855035,30.661714272501,,,0
2003-07-01,2003-07-01,16.71,22.28,16.51,20.82,3156740898.0,84.3850267379679,81.4846293359008,30.817552866509075,30.364423516776736,,,0
2003-08-01,2003-08-01,20.82,22.44,19.26,22.44,1889709551.0,100.0,88.53591138718286,32.933618245282894,31.279390043215717,,,0
2003-09-01,2003-09-01,23.27,25.36,22.79,23.43,1530423929.0,81.38862102217936,88.59121592004908,36.324268197882674,33.358479769891595,,,0
2003-10-01,2003-10-01,23.43,26.0,23.43,24.39,1259068443.0,83.03477344573236,88.1411314893039,39.62239232639126,36.29342625651899,,,0
2003-11-01,2003-11-01,24.39,25.67,21.18,21.18,1218116197.0,28.486646884272975,64.30334711739489,41.202960584983025,39.0498737030857,,,0
2003-12-01,2003-12-01,21.18,22.23,21.02,21.42,927842414.0,8.032128514056268,39.85118294802052,43.65971107544138,41.495021328938606,2.0,,2
2004-01-01,2004-01-01,21.42,25.19,21.42,24.88,754906433.0,77.51004016064255,38.00960518632392,48.77625474180292,44.54630880074249,,,0
2004-02-01,2004-02-01,24.72,24.72,23.43,23.75,933205267.0,58.70967741935482,48.08394869801787,53.971269295386264,48.802411704210236,,,0
2004-03-01,2004-03-01,23.91,24.24,21.02,22.87,1751912253.0,44.36450839328539,60.19474199109425,58.810712718127085,53.852745585105474,,,0
2004-04-01,2004-04-01,22.95,23.99,20.94,21.02,868171707.0,1.8823529411764304,34.98551291793888,62.73629416960534,58.50609206103962,2.0,,2
