,Date,Open,High,Low,Close,Volume,SMA5,EMA5,WMA5,CMA,CBI,BIAS,MACD-DIF,MACD-DEM,MACD-OSC,MTM,MTM-SMA,CMO,RSI-F,RSI-S,RSI-SM,KDJ-RSV,KDJ-K,KDJ-D,KDJ-J,KDJ-J2,ATR,OBV,OBV-SMA,BBANDS-UP,BBANDS-SMA,BBANDS-DN,CDP-AH,CDP-NH,CDP,CDP-NL,CDP-AL,LOHAS-AH,LOHAS-NH,LOHAS-T,LOHAS-NL,LOHAS-AL,LOHAS-UP,LOHAS-MD,LOHAS-DN,DC-UP,DC-MD,DC-DN
72,2021-03-24,125.38,127.31,122.0,123.45,80879262,123.74,123.17,124.0,102.99,114.78,-0.0,3.8,2.93,0.87,13.99,9.97,24.98,55.35,62.22,73.65,61.77,74.85,79.99,90.27,64.57,4.08,40439631.0,45496686.0,129.22,123.74,118.26,131.05,128.03,126.7,123.69,122.36,122.74,114.25,105.76,97.27,88.78,123.89,115.18,106.63,129.72,118.14,106.57
73,2021-03-25,122.48,124.9,121.04,122.0,64485260,123.16,122.78,123.42,103.25,115.3,-0.01,3.66,3.07,0.59,11.09,10.73,22.8,46.19,56.75,65.36,49.97,66.56,75.51,93.41,48.66,4.06,32242630.0,45741083.0,128.64,123.16,117.68,129.36,126.11,124.05,120.8,118.74,122.76,114.27,105.78,97.29,88.8,124.69,115.95,107.31,129.72,118.87,108.02
74,2021-03-26,122.97,123.45,121.52,122.0,52856534,123.74,122.52,123.03,103.5,115.66,-0.01,3.51,3.16,0.35,10.61,11.17,22.11,46.19,56.75,56.8,40.71,57.94,69.65,93.07,34.52,3.91,26428267.0,44257850.0,127.39,123.74,120.09,126.34,123.93,122.48,120.07,118.62,122.78,114.29,105.8,97.31,88.82,125.26,116.43,107.87,129.72,118.87,108.02
75,2021-03-29,123.45,124.41,122.97,123.93,41198716,123.45,122.99,123.09,103.77,116.39,0.0,3.48,3.22,0.26,11.09,11.61,26.95,62.41,62.83,58.94,47.79,54.56,64.62,84.74,34.44,3.8,20599358.0,42281857.0,126.65,123.45,120.25,124.17,122.97,122.24,121.04,120.31,122.8,114.31,105.82,97.33,88.84,125.73,117.23,108.82,129.72,118.87,108.02
76,2021-03-30,124.9,125.38,123.93,124.9,46587752,123.26,123.63,123.58,104.04,116.88,0.01,3.5,3.28,0.22,9.17,11.7,35.13,68.99,65.69,58.58,54.57,54.56,61.27,74.69,41.14,3.63,23293876.0,42100479.0,125.78,123.26,120.74,125.25,124.65,123.81,123.21,122.37,122.82,114.33,105.84,97.35,88.86,126.38,118.07,109.71,129.72,118.87,108.02
77,2021-03-31,120.56,122.0,118.63,119.59,130007897,122.48,122.28,122.36,104.24,116.92,-0.02,3.07,3.24,-0.17,2.89,11.09,21.66,29.47,43.84,51.43,8.66,39.26,53.93,83.27,9.92,3.82,65003948.0,43186775.0,126.58,122.48,118.39,126.23,125.62,124.78,124.18,123.33,122.84,114.35,105.86,97.37,88.88,126.81,118.48,110.31,129.72,118.87,108.02
78,2021-04-01,120.07,121.04,116.22,117.18,97056517,121.52,120.58,120.59,104.4,116.83,-0.04,2.53,3.1,-0.57,-1.45,10.45,16.12,21.61,37.2,45.81,7.11,28.54,45.47,79.33,-5.32,3.89,48528258.0,43633953.0,127.85,121.52,115.19,123.32,121.28,119.95,117.9,116.58,122.86,114.37,105.88,97.39,88.9,127.3,118.82,110.69,129.72,118.87,108.02
79,2021-04-07,119.59,120.07,118.14,119.11,33781367,120.94,120.09,119.78,104.59,116.9,-0.02,2.21,2.92,-0.71,-2.41,9.12,20.63,39.66,45.07,44.72,21.41,26.16,39.03,64.77,0.42,3.82,16890684.0,42314042.0,127.57,120.94,114.31,122.72,119.59,117.9,114.77,113.08,122.88,114.39,105.9,97.41,88.92,127.61,119.23,111.26,129.72,118.87,108.02
80,2021-04-08,118.63,118.63,117.18,118.14,38840858,119.78,119.44,118.85,104.75,116.77,-0.01,1.87,2.71,-0.84,-6.76,7.15,10.33,34.13,41.95,42.71,17.31,23.21,33.76,54.86,2.11,3.68,19420429.0,41923364.0,125.8,119.78,113.77,121.04,120.07,119.11,118.14,117.18,122.9,114.41,105.92,97.43,88.94,127.71,119.66,111.88,129.72,118.87,108.02
81,2021-04-09,118.63,118.63,115.73,115.73,80329342,117.95,118.2,117.5,104.89,116.54,-0.02,1.4,2.45,-1.05,-3.38,6.23,14.27,22.98,34.86,36.14,0.0,15.47,27.66,52.04,-8.91,3.62,40164671.0,42833307.0,121.05,117.95,114.85,119.47,118.86,118.02,117.42,116.57,122.92,114.43,105.94,97.45,88.96,128.0,119.9,112.36,129.72,120.32,110.91
82,2021-04-12,115.73,117.66,114.77,116.22,69260254,117.28,117.54,116.92,105.02,116.18,-0.01,1.06,2.17,-1.11,-9.16,4.22,15.04,29.53,37.4,29.56,13.67,14.87,23.4,40.46,-2.19,3.57,34630127.0,43370292.0,120.04,117.28,114.51,119.36,117.18,116.46,114.28,113.56,122.94,114.45,105.96,97.47,88.98,128.25,120.15,112.54,129.72,120.8,111.88
83,2021-04-13,117.18,118.63,116.7,118.14,49602834,117.47,117.74,117.21,105.18,116.14,0.01,0.91,1.92,-1.01,-7.72,2.33,12.72,51.95,46.98,33.31,31.76,20.5,22.43,26.29,16.64,3.49,24801417.0,42722113.0,120.33,117.47,114.61,119.11,117.66,116.22,114.78,113.33,122.96,114.47,105.98,97.49,89.0,128.5,120.41,112.78,129.72,121.52,113.32
84,2021-04-14,118.63,119.11,114.77,117.18,53282943,117.08,117.55,117.11,105.32,116.19,0.0,0.72,1.68,-0.96,-6.27,0.64,12.72,42.49,43.09,36.79,22.71,21.24,22.03,23.61,19.66,3.55,26641472.0,41656895.0,119.28,117.08,114.89,119.83,119.1,117.9,117.18,115.97,122.99,114.5,106.01,97.52,89.03,128.92,120.48,112.62,129.72,122.0,114.29
85,2021-04-15,116.7,116.7,115.25,116.7,39497137,116.79,117.27,116.99,105.45,116.14,-0.0,0.53,1.45,-0.92,-5.3,-0.72,10.91,37.68,41.07,36.46,26.69,23.06,22.37,20.99,24.44,3.43,19748568.0,40908181.0,118.65,116.79,114.94,121.4,119.35,117.06,115.01,112.72,123.01,114.52,106.03,97.54,89.05,128.63,120.48,112.89,129.72,122.24,114.77
86,2021-04-16,117.66,119.59,117.66,119.11,52975405,117.47,117.88,117.76,105.61,116.34,0.01,0.55,1.27,-0.72,-2.89,-1.85,17.86,65.28,53.87,41.65,69.22,38.45,27.73,6.29,59.89,3.39,26487702.0,39903989.0,119.79,117.47,115.15,117.79,117.43,116.34,115.98,114.89,123.03,114.54,106.05,97.56,89.07,128.66,120.51,112.94,129.72,122.24,114.77
87,2021-04-19,119.11,119.11,117.18,117.18,32187002,117.66,117.65,117.66,105.74,116.43,-0.0,0.42,1.1,-0.68,-6.75,-3.34,11.5,43.62,44.68,45.09,45.47,40.79,32.08,14.66,58.21,3.29,16093501.0,37126499.0,119.59,117.66,115.73,120.8,120.08,118.87,118.15,116.94,123.05,114.56,106.07,97.58,89.09,128.18,120.29,113.1,129.72,122.24,114.77
88,2021-04-20,117.18,117.66,116.7,117.66,26160003,117.57,117.65,117.66,105.88,116.51,0.0,0.35,0.95,-0.6,-7.24,-4.7,11.5,49.46,47.32,48.41,59.96,47.18,37.11,16.97,67.32,3.12,13080002.0,34323366.0,119.42,117.57,115.71,119.59,118.15,117.66,116.22,115.73,123.07,114.58,106.09,97.6,89.11,127.46,119.93,113.02,129.72,122.24,114.77
89,2021-04-21,116.7,117.18,115.73,115.73,34814313,117.28,117.01,117.05,105.99,116.46,-0.01,0.14,0.79,-0.65,-3.86,-5.27,5.26,31.25,38.58,44.96,19.92,38.09,37.44,36.14,39.39,3.03,17407156.0,31131328.0,119.77,117.28,114.78,118.38,118.14,117.42,117.18,116.46,123.09,114.6,106.11,97.62,89.13,126.95,119.76,113.09,129.72,122.24,114.77
90,2021-04-22,117.66,117.66,113.32,113.32,67451616,116.6,115.78,115.73,106.07,116.28,-0.03,-0.2,0.59,-0.79,-3.86,-5.47,-4.42,19.01,30.31,41.05,0.0,25.39,33.42,49.48,9.33,3.12,33725808.0,30106435.0,120.99,116.6,112.21,117.54,116.46,116.09,115.0,114.64,123.11,114.62,106.13,97.64,89.15,126.41,119.16,112.92,129.72,121.52,113.32
91,2021-04-23,112.84,114.77,112.84,114.77,39251297,115.73,115.44,115.12,106.16,116.18,-0.01,-0.36,0.4,-0.76,-4.34,-5.63,-3.51,39.1,39.53,41.29,28.59,26.46,31.1,40.38,17.18,3.03,19625648.0,28262658.0,119.28,115.73,112.19,118.74,115.49,114.4,111.15,110.06,123.13,114.64,106.15,97.66,89.17,125.5,118.6,112.45,127.31,120.08,112.84
92,2021-04-26,115.25,115.73,113.32,113.32,40961898,114.96,114.74,114.32,106.24,115.88,-0.01,-0.58,0.2,-0.78,-4.82,-5.47,-9.74,29.02,34.18,35.24,7.11,20.01,27.4,42.18,5.23,2.99,20480949.0,27264724.0,118.61,114.96,111.31,116.22,115.73,114.29,113.8,112.36,123.15,114.66,106.17,97.68,89.19,124.64,118.1,112.28,125.38,119.11,112.84
93,2021-04-27,114.29,116.22,113.8,114.29,54358808,114.29,114.59,114.09,106.32,115.75,0.0,-0.67,0.03,-0.7,-1.44,-5.3,-13.75,42.82,40.54,35.11,21.48,20.5,25.1,34.3,11.3,2.98,27179404.0,27011562.0,116.33,114.29,112.24,116.33,114.52,113.92,112.12,111.51,123.17,114.68,106.19,97.7,89.21,124.07,117.71,112.05,125.38,119.11,112.84
94,2021-04-28,113.8,114.29,112.84,112.84,38888642,113.71,114.0,113.61,106.39,115.45,-0.01,-0.84,-0.14,-0.7,-3.38,-4.82,-23.81,30.44,34.63,31.94,0.0,13.67,21.29,36.53,-1.57,2.87,19444321.0,26662365.0,115.3,113.71,112.12,117.07,115.5,114.65,113.08,112.23,123.19,114.7,106.21,97.72,89.23,123.48,117.25,111.75,125.38,119.11,112.84
95,2021-04-29,113.8,114.29,111.88,111.88,45671359,113.42,113.3,113.0,106.45,115.14,-0.01,-1.04,-0.32,-0.72,-6.26,-4.7,-15.78,24.0,31.09,30.73,0.0,9.11,17.23,33.47,-7.13,2.84,22835680.0,26774181.0,115.72,113.42,111.12,114.65,113.56,113.2,112.12,111.75,123.21,114.72,106.23,97.74,89.25,123.07,116.65,111.09,125.38,118.63,111.88
96,2021-05-03,110.91,110.91,108.02,108.5,71622387,112.17,111.7,111.36,106.47,114.62,-0.03,-1.42,-0.54,-0.88,-8.68,-4.9,-39.31,11.75,21.8,29.52,4.98,7.73,14.06,26.72,-4.93,2.91,35811194.0,27400047.0,116.62,112.17,107.71,114.89,113.08,112.48,110.68,110.07,123.23,114.74,106.25,97.76,89.27,122.56,115.83,110.09,122.0,115.01,108.02
97,2021-05-04,108.02,108.02,103.68,104.64,86723115,110.43,109.35,108.85,106.45,113.76,-0.05,-1.99,-0.83,-1.16,-12.06,-5.46,-45.81,6.47,15.54,24.08,6.87,7.44,11.85,20.67,-1.38,3.05,43361558.0,26317927.0,118.18,110.43,102.68,111.87,109.94,108.98,107.06,106.09,123.26,114.77,106.28,97.79,89.3,121.92,115.08,109.29,121.04,112.36,103.68
98,2021-05-05,106.09,109.46,106.09,106.09,65337936,108.79,108.26,107.41,106.45,113.03,-0.02,-2.31,-1.13,-1.18,-13.02,-6.31,-38.27,24.35,25.09,23.31,17.24,10.71,11.47,12.99,9.19,3.18,32668968.0,25524963.0,115.9,108.79,101.68,109.58,106.81,105.24,102.47,100.91,123.28,114.79,106.3,97.81,89.32,121.19,114.53,108.93,120.07,111.88,103.68
99,2021-05-06,108.02,108.98,106.57,108.5,37607241,107.92,108.34,107.31,106.47,112.49,0.01,-2.35,-1.37,-0.98,-8.68,-6.47,-29.15,47.64,38.71,24.11,38.44,19.95,14.3,3.0,31.25,3.16,18803620.0,25620610.0,113.44,107.92,102.4,110.3,107.78,106.93,104.41,103.56,123.3,114.81,106.32,97.83,89.34,120.61,114.0,108.37,119.59,111.64,103.68
100,2021-05-07,110.43,113.32,109.95,113.32,60426256,108.21,110.0,109.11,106.54,112.37,0.05,-1.99,-1.5,-0.49,-4.34,-6.23,-16.97,71.88,57.13,31.02,76.87,38.92,22.51,-10.31,71.74,3.28,30213128.0,26160245.0,114.81,108.21,101.61,110.55,109.71,108.14,107.3,105.73,123.32,114.83,106.34,97.85,89.36,120.57,113.76,107.8,119.59,111.64,103.68
101,2021-05-10,111.88,112.36,108.98,108.98,41561886,108.31,109.66,109.37,106.56,112.0,0.01,-2.01,-1.6,-0.41,-6.75,-6.47,-27.92,45.39,43.29,34.58,42.26,40.03,28.35,4.99,63.39,3.36,20780943.0,25191058.0,114.94,108.31,101.67,115.85,115.0,112.48,111.64,109.11,123.34,114.85,106.36,97.87,89.38,120.36,113.42,107.37,119.59,111.64,103.68
102,2021-05-11,105.61,106.09,102.23,103.2,80002280,108.02,107.51,107.66,106.53,111.36,-0.04,-2.42,-1.76,-0.66,-10.12,-6.99,-37.18,26.9,31.34,37.1,8.04,29.37,28.69,27.33,30.73,3.6,40001140.0,25459609.0,115.51,108.02,100.52,113.2,110.67,109.82,107.29,106.44,123.36,114.87,106.38,97.89,89.4,119.97,112.77,106.56,119.59,110.91,102.23
103,2021-05-12,100.3,102.71,93.07,98.37,149627674,106.47,104.46,104.45,106.45,110.5,-0.08,-3.08,-2.03,-1.05,-16.4,-8.0,-36.66,18.22,24.62,39.06,24.98,27.91,28.43,29.47,26.87,4.07,74813837.0,27960230.0,118.03,106.47,94.91,107.54,105.13,103.68,101.27,99.82,123.38,114.89,106.4,97.91,89.42,119.96,111.78,104.68,119.59,106.33,93.07
104,2021-05-13,95.96,101.27,94.71,99.34,70416230,104.64,102.75,102.07,106.38,109.72,-0.05,-3.47,-2.32,-1.15,-13.98,-8.76,-31.61,25.02,28.27,39.18,30.96,28.93,28.6,27.94,29.59,4.25,35208115.0,28388562.0,117.43,104.64,91.85,107.77,103.19,98.13,93.55,88.49,123.4,114.91,106.42,97.93,89.44,119.3,110.89,103.47,119.59,106.33,93.07
105,2021-05-14,101.27,102.23,99.82,100.78,43828851,102.13,102.1,100.78,106.33,108.91,-0.01,-3.63,-2.58,-1.05,-13.51,-9.76,-32.76,36.08,33.88,37.25,38.07,31.98,29.73,25.23,36.48,4.15,21914426.0,28496855.0,110.61,102.13,93.66,105.22,102.62,98.66,96.06,92.1,123.42,114.93,106.44,97.95,89.46,118.66,110.09,102.62,119.59,106.33,93.07
106,2021-05-17,96.44,98.37,93.65,94.71,96882339,99.28,99.63,98.31,106.22,107.47,-0.05,-4.16,-2.89,-1.27,-18.13,-10.99,-38.38,19.29,24.38,28.48,8.1,24.02,27.83,35.45,16.4,4.36,48441170.0,29594528.0,105.55,99.28,93.01,103.31,101.99,100.9,99.58,98.49,123.44,114.95,106.46,97.97,89.48,117.86,108.87,101.19,119.11,106.09,93.07
107,2021-05-18,97.89,103.68,97.41,103.2,81635753,99.28,100.82,99.62,106.19,106.91,0.04,-3.89,-3.09,-0.8,-8.68,-11.2,-18.67,57.77,48.33,30.55,50.02,32.69,29.45,22.97,39.17,4.69,40817876.0,30830747.0,105.55,99.28,93.01,100.08,97.07,95.36,92.35,90.64,123.46,114.97,106.48,97.99,89.5,117.47,108.17,99.85,117.66,105.36,93.07
108,2021-05-19,102.71,102.71,100.3,101.27,47341275,99.86,100.97,100.28,106.15,106.49,0.01,-3.78,-3.23,-0.55,-7.23,-11.08,-21.8,50.16,44.54,34.42,40.49,35.29,31.4,23.62,43.07,4.56,23670638.0,31360279.0,106.25,99.86,93.47,108.14,106.34,101.87,100.06,95.6,123.48,114.99,106.5,98.01,89.52,116.81,107.35,98.94,117.66,105.36,93.07
109,2021-05-20,101.27,102.71,100.78,102.23,42732251,100.44,101.39,101.07,106.11,106.4,0.02,-3.57,-3.3,-0.27,-2.41,-10.27,-23.53,54.34,46.99,40.44,47.49,39.36,34.05,23.43,49.98,4.37,21366126.0,31558227.0,107.11,100.44,93.77,103.8,102.47,101.39,100.06,98.98,123.51,115.02,106.53,98.04,89.55,116.17,106.68,98.11,117.66,105.36,93.07
110,2021-05-21,104.16,106.09,104.16,105.61,53869601,101.4,102.8,102.79,106.11,106.49,0.04,-3.12,-3.26,0.14,-0.48,-9.23,-16.52,67.72,55.2,47.56,96.31,58.34,42.15,9.77,90.72,4.33,26934800.0,31218677.0,109.55,101.4,93.25,103.92,103.2,101.99,101.27,100.06,123.53,115.04,106.55,98.06,89.57,115.34,106.29,97.9,116.22,104.64,93.07
111,2021-05-24,104.64,106.09,104.16,105.61,31062650,103.58,103.73,104.19,106.1,106.48,0.02,-2.72,-3.15,0.43,-2.89,-8.74,-15.95,67.72,55.2,52.83,96.31,71.0,51.77,13.31,109.46,4.16,15531325.0,31013961.0,107.53,103.58,99.64,107.3,106.58,105.37,104.65,103.44,123.55,115.06,106.57,98.08,89.59,114.89,105.83,97.48,116.22,104.64,93.07
112,2021-05-25,107.05,108.98,106.57,108.02,50727292,104.55,105.16,105.67,106.12,106.78,0.03,-2.21,-2.97,0.76,-5.3,-8.82,-15.95,77.09,61.19,62.47,93.74,78.58,60.71,24.97,114.32,4.1,25363646.0,31258096.0,110.06,104.55,99.03,107.3,106.58,105.37,104.65,103.44,123.57,115.08,106.59,98.1,89.61,114.53,105.57,97.16,116.22,104.64,93.07
113,2021-05-26,109.46,109.46,106.57,107.54,24690941,105.8,105.96,106.67,106.13,106.82,0.02,-1.82,-2.74,0.92,-1.44,-8.38,-14.16,71.32,59.32,64.73,87.86,81.67,67.7,39.76,109.61,4.01,12345470.0,30516399.0,110.36,105.8,101.24,110.31,109.23,107.9,106.82,105.49,123.59,115.1,106.61,98.12,89.63,114.29,105.23,96.7,114.29,103.68,93.07
114,2021-05-27,106.09,106.57,103.68,105.61,61173641,106.48,105.84,106.61,106.13,106.93,-0.01,-1.64,-2.52,0.88,2.41,-7.34,-17.33,50.16,51.81,64.73,75.65,79.66,71.69,55.75,95.6,4.0,30586820.0,31073524.0,108.88,106.48,104.08,110.67,108.99,107.78,106.1,104.89,123.61,115.12,106.63,98.14,89.65,114.11,104.87,96.05,114.29,103.68,93.07
115,2021-05-28,106.57,107.54,106.09,107.05,26886430,106.77,106.24,106.8,106.14,107.22,0.0,-1.36,-2.29,0.93,8.68,-5.25,-12.57,61.95,56.65,65.99,80.0,79.77,74.38,63.6,90.55,3.85,13443215.0,30603901.0,108.99,106.77,104.55,108.26,107.06,105.37,104.17,102.48,123.63,115.14,106.65,98.16,89.67,113.65,104.63,95.87,113.32,103.2,93.07
116,2021-05-31,108.02,109.46,107.54,109.46,34198356,107.54,107.32,107.7,106.16,107.54,0.02,-0.96,-2.02,1.06,10.12,-3.24,-5.59,75.52,63.84,67.29,100.0,86.51,78.42,62.24,102.69,3.75,17099178.0,29668300.0,110.34,107.54,104.73,108.38,107.78,106.93,106.32,105.48,123.65,115.16,106.67,98.18,89.69,113.47,104.68,95.96,113.32,103.2,93.07
117,2021-06-01,110.43,110.91,109.46,110.43,22263808,108.02,108.35,108.66,106.2,107.9,0.02,-0.55,-1.73,1.18,9.65,-1.31,-6.33,79.62,66.48,69.28,95.26,89.43,82.09,67.41,104.11,3.59,11131904.0,28056817.0,111.87,108.02,104.16,110.9,110.42,108.98,108.5,107.06,123.67,115.18,106.69,98.2,89.71,113.29,104.97,96.55,113.32,103.2,93.07
118,2021-06-02,110.91,111.39,107.05,108.02,32957334,108.11,108.24,108.66,106.22,108.12,-0.0,-0.41,-1.46,1.05,13.31,1.31,-7.62,50.33,54.74,64.82,56.29,78.38,80.85,85.79,73.44,3.64,16478667.0,27247302.0,111.93,108.11,104.29,111.76,111.16,110.31,109.71,108.86,123.69,115.2,106.71,98.22,89.73,113.5,105.06,96.49,113.32,103.2,93.07
119,2021-06-03,108.98,108.98,106.57,107.05,23957797,108.4,107.85,108.31,106.22,108.1,-0.01,-0.37,-1.24,0.87,3.85,2.36,-10.41,41.69,50.49,59.88,43.71,66.82,76.17,94.87,48.12,3.55,11978898.0,26906066.0,111.41,108.4,105.4,112.96,110.19,108.62,105.85,104.28,123.71,115.22,106.73,98.24,89.75,113.5,104.99,96.49,113.32,103.2,93.07
120,2021-06-04,106.09,108.5,105.12,108.02,28808854,108.6,107.9,108.18,106.24,108.29,-0.01,-0.27,-1.05,0.78,6.75,3.52,-6.98,52.99,54.65,60.35,56.29,63.31,71.88,89.02,46.17,3.54,14404427.0,26115631.0,111.27,108.6,105.92,109.82,108.26,107.41,105.84,105.0,123.73,115.24,106.75,98.26,89.77,113.25,104.72,96.26,112.36,102.72,93.07
121,2021-06-07,108.5,108.5,105.12,106.57,20309568,108.02,107.46,107.5,106.24,108.3,-0.01,-0.28,-0.9,0.62,4.34,4.08,-7.63,37.7,47.59,56.31,37.48,54.7,66.15,89.05,31.8,3.53,10154784.0,25584323.0,110.99,108.02,105.04,110.79,109.71,107.42,106.33,104.04,123.76,115.27,106.78,98.29,89.8,113.04,104.6,96.08,111.39,102.23,93.07
122,2021-06-08,107.05,107.54,106.09,106.57,18203485,107.25,107.16,107.02,106.24,108.18,-0.01,-0.29,-0.77,0.48,0.96,4.2,-2.92,37.7,47.59,50.0,37.48,48.96,60.42,83.34,26.04,3.38,9101742.0,24039353.0,108.71,107.25,105.78,110.07,108.26,106.69,104.88,103.31,123.78,115.29,106.8,98.31,89.82,112.8,104.77,96.58,111.39,102.23,93.07
123,2021-06-09,106.09,107.05,105.61,105.61,22680962,106.76,106.65,106.48,106.24,107.98,-0.01,-0.37,-0.69,0.32,0.0,4.44,1.53,27.43,42.52,41.31,7.81,35.24,52.03,85.61,1.66,3.24,11340481.0,20865685.0,108.52,106.76,105.01,108.14,107.29,106.69,105.84,105.24,123.8,115.31,106.82,98.33,89.84,112.1,105.14,98.03,111.39,102.52,93.65
124,2021-06-10,106.09,107.54,105.61,106.57,18992629,106.67,106.62,106.41,106.24,107.89,-0.0,-0.36,-0.63,0.27,-1.45,4.76,0.76,47.46,48.95,40.83,23.13,31.2,45.09,72.87,3.42,3.15,9496314.0,19580095.0,108.39,106.67,104.94,107.41,106.33,105.97,104.89,104.53,123.82,115.33,106.84,98.35,89.86,111.92,105.5,99.03,111.39,102.52,93.65
125,2021-06-11,107.54,110.43,107.54,109.46,36017587,106.96,107.57,107.34,106.27,108.05,0.02,-0.13,-0.53,0.4,1.92,5.04,1.52,75.72,63.49,46.5,69.22,43.87,44.68,46.3,42.25,3.2,18008794.0,19384814.0,109.88,106.96,104.04,108.5,107.53,106.57,105.6,104.64,123.84,115.35,106.86,98.37,89.88,112.45,105.93,99.29,111.39,102.52,93.65
126,2021-06-15,109.46,110.43,108.02,108.98,23544247,107.44,108.04,108.02,106.29,108.11,0.01,0.03,-0.42,0.45,3.37,5.12,-7.37,67.3,60.13,48.88,61.56,49.77,46.38,39.6,56.55,3.14,11772124.0,17551361.0,110.8,107.44,104.07,112.11,110.9,109.22,108.01,106.33,123.86,115.37,106.88,98.39,89.9,112.78,106.64,100.26,111.39,104.4,97.41
127,2021-06-16,108.02,108.98,107.54,107.54,23871999,107.63,107.87,108.05,106.3,108.14,-0.0,0.03,-0.33,0.36,0.49,4.44,-2.57,45.88,50.63,50.25,45.57,48.37,47.04,44.38,51.03,3.02,11936000.0,16107268.0,110.85,107.63,104.41,111.51,110.18,109.1,107.77,106.69,123.88,115.39,106.9,98.41,89.92,112.54,106.86,101.25,111.39,105.84,100.3
128,2021-06-17,106.57,108.98,106.09,108.98,18109232,108.31,108.24,108.5,106.32,108.29,0.01,0.14,-0.23,0.37,-0.48,3.56,11.18,62.56,58.4,54.39,72.69,56.48,50.19,37.61,69.06,3.01,9054616.0,15376467.0,110.72,108.31,105.89,109.34,108.26,107.9,106.82,106.46,123.9,115.41,106.92,98.43,89.94,112.97,107.25,101.42,111.39,106.08,100.78
129,2021-06-18,108.5,108.98,107.54,107.54,29445549,108.5,108.01,108.24,106.33,108.39,-0.01,0.12,-0.16,0.28,-2.89,2.51,18.99,43.7,49.24,57.1,45.57,52.84,51.07,47.53,56.38,2.9,14722774.0,15044299.0,110.3,108.5,106.7,111.15,110.42,108.26,107.53,105.37,123.92,115.43,106.94,98.45,89.96,113.19,107.51,101.85,111.39,107.54,103.68
130,2021-06-21,106.57,106.57,104.64,104.64,34818980,107.54,106.88,106.96,106.31,108.27,-0.03,-0.12,-0.15,0.03,-3.38,1.12,10.55,23.62,35.85,53.13,0.0,35.23,45.79,66.91,14.11,2.9,17409490.0,14568033.0,111.08,107.54,103.99,109.34,108.26,107.9,106.82,106.46,123.94,115.45,106.96,98.47,89.98,113.21,107.46,101.87,111.39,107.54,103.68
131,2021-06-22,105.61,106.09,104.64,104.64,21910960,106.67,106.14,105.99,106.3,108.03,-0.02,-0.29,-0.18,-0.11,-2.41,0.6,7.91,23.62,35.85,44.45,0.0,23.49,38.36,68.1,-6.25,2.8,10955480.0,14339241.0,110.55,106.67,102.78,107.05,105.6,105.12,103.68,103.19,123.96,115.47,106.98,98.49,90.0,113.11,107.42,102.0,111.39,107.54,103.68
132,2021-06-23,105.12,108.02,104.64,107.54,27710302,106.67,106.6,106.28,106.31,108.08,0.01,-0.22,-0.19,-0.03,-0.48,-0.0,28.13,59.81,53.51,43.2,50.09,32.36,36.36,44.36,24.36,2.84,13855151.0,13763816.0,110.55,106.67,102.78,106.45,105.36,105.0,103.92,103.55,123.98,115.49,107.0,98.51,90.02,113.17,107.39,101.8,111.39,107.54,103.68
133,2021-06-24,107.54,109.95,107.05,108.98,31065987,106.67,107.4,107.05,106.33,108.24,0.02,-0.05,-0.16,0.11,2.41,-0.16,14.99,69.77,59.97,47.18,74.96,46.56,39.76,26.16,60.16,2.84,15532994.0,13923193.0,110.55,106.67,102.78,110.32,109.23,106.94,105.85,103.56,124.0,115.51,107.02,98.53,90.04,113.19,107.46,101.82,111.39,107.54,103.68
134,2021-06-25,109.95,110.91,108.98,108.98,35574740,106.96,107.92,107.82,106.35,108.36,0.02,0.09,-0.11,0.2,2.41,-0.04,21.05,69.77,59.97,48.38,69.22,54.11,44.54,25.4,73.25,2.77,17787370.0,13283220.0,111.34,106.96,102.57,111.64,110.43,108.74,107.53,105.84,124.03,115.54,107.05,98.56,90.07,113.31,107.63,102.18,111.39,108.02,104.64
135,2021-06-28,108.98,109.46,107.05,107.54,23702001,107.54,107.8,108.02,106.36,108.43,0.0,0.09,-0.07,0.16,1.93,0.12,14.31,46.96,50.22,48.92,46.25,51.49,46.86,37.6,60.75,2.74,11851000.0,13203609.0,111.08,107.54,103.99,111.39,109.94,109.46,108.02,107.53,124.05,115.56,107.07,98.58,90.09,113.52,107.66,102.12,111.39,108.02,104.64
136,2021-06-29,108.5,108.5,107.54,107.54,17706887,108.12,107.71,108.02,106.37,108.56,-0.01,0.08,-0.04,0.12,0.97,0.32,5.72,46.96,50.22,52.82,46.25,49.74,47.82,43.98,53.58,2.61,8853444.0,12791323.0,109.69,108.12,106.54,110.31,108.75,107.9,106.34,105.49,124.07,115.58,107.09,98.6,90.11,113.36,107.56,102.23,111.39,108.02,104.64
137,2021-06-30,108.02,109.46,108.02,108.02,31076380,108.21,107.81,107.99,106.38,108.66,-0.0,0.11,-0.01,0.12,-1.44,0.04,7.04,56.3,53.72,58.26,53.91,51.13,48.92,44.5,55.55,2.56,15538190.0,13011637.0,109.67,108.21,106.76,108.74,108.02,107.78,107.06,106.82,124.09,115.6,107.11,98.62,90.13,113.29,107.44,102.16,111.39,108.02,104.64
