,close,volume,dif,obv,obv-ma
200,105.0,32073278,-1.0,16036639.0,12737317.0
201,105.0,22552355,0.0,11276178.0,12539654.0
202,103.0,34131219,-1.0,17065610.0,12837130.0
203,103.0,25219519,0.0,12609760.0,12728476.0
204,101.5,41574679,-1.0,20787340.0,13170493.0
205,103.0,38805074,1.0,19402537.0,13683866.0
206,107.0,38220702,1.0,19110351.0,14061046.0
207,108.0,27430627,1.0,13715314.0,14035907.0
208,105.0,38628919,-1.0,19314460.0,14492946.0
209,105.5,18684819,1.0,9342410.0,14629911.0
210,106.5,17684751,1.0,8842376.0,14689590.0
211,109.5,49011891,1.0,24505946.0,15435751.0
212,107.5,42099090,-1.0,21049545.0,14906662.0
213,107.0,26270635,-1.0,13135318.0,14991883.0
214,107.5,29381245,1.0,14690622.0,14760188.0
215,108.0,30517157,1.0,15258578.0,14561614.0
216,107.5,14667653,-1.0,7333826.0,14456340.0
217,108.0,21027449,1.0,10513724.0,14600022.0
218,109.0,18026359,1.0,9013180.0,14704424.0
219,108.0,15831617,-1.0,7915808.0,14545976.0
220,108.5,14181424,1.0,7090712.0,14098680.0
221,107.0,20664910,-1.0,10332455.0,14051494.0
222,106.5,18124077,-1.0,9062038.0,13651315.0
223,107.5,20172294,1.0,10086147.0,13525134.0
224,107.5,12249306,0.0,6124653.0,12792000.0
225,108.0,11307246,1.0,5653623.0,12104554.0
226,109.0,17621370,1.0,8810685.0,11589571.0
227,107.5,19912872,-1.0,9956436.0,11401627.0
228,108.0,23901115,1.0,11950558.0,11033432.0
229,109.0,22839265,1.0,11419632.0,11137293.0
230,107.5,18674012,-1.0,9337006.0,11162025.0
231,109.0,26633641,1.0,13316820.0,10602568.0
232,108.0,25735186,-1.0,12867593.0,10193471.0
233,108.0,15746287,0.0,7873144.0,9930362.0
234,107.0,31800650,-1.0,15900325.0,9990847.0
235,107.0,30441523,0.0,15220762.0,9988956.0
236,106.5,20714969,-1.0,10357484.0,10140139.0
237,106.5,17750562,0.0,8875281.0,10058217.0
